Num episodes,Cumulative rewards
1200,"[-122.49348525436893, -124.50471512948158, -194.20481931820007, -195.72236586994185, -124.95088251900756, -132.90757116858612, -344.32186029313675, -163.8013000418062, -145.0357444703089, -275.83162083581567]"
1210,"[-155.55929235388072, -159.4589415565181, -96.16631201418795, -926.5743519136452, -559.8280117381438, -164.34762759032708, -362.31080885688596, -673.3876994217205, -560.0975591457704, -259.44601389893063]"
1220,"[-488.53619278058244, -509.2179307254903, -91.31327270189252, -356.4200355736372, 10.83270825712188, -462.60490012719276, -131.37463245953072, -401.05343332108157, -511.0212437921894, -762.9624797794369]"
1230,"[-163.797030188555, -309.6117633404126, -459.1763069875489, -130.96475391573884, -131.6922784198282, -251.2417458935685, -597.283714231068, -87.86422518797625, -330.356334892077, -230.56623302362456]"
1240,"[-128.27434864851932, -117.8204157744606, -303.1175259272708, -547.8226118453181, -158.90720551670472, -111.44553445621912, -111.14157216636241, -297.06176164023645, -83.81287881627362, -74.0937420471067]"
1250,"[-69.0251167716084, -93.21645870608751, -139.81643398497783, -301.87343728920894, -294.0945800053156, -123.63292119431654, -89.29225475472703, -424.72542429597837, -155.5390254363144, -135.5931339966324]"
1260,"[-565.6883381734982, -389.2823855124473, -647.8191740911968, -133.25268554563146, -107.6475509558698, -98.21071315561028, -103.01904356939218, -350.0119066200265, -122.47280034487707, -232.02457322503187]"
1270,"[-115.74060375796792, -13.49552553229772, -364.81382826175803, -144.36127059482135, -987.5744068126875, -150.21458180263772, -123.60302269578017, -89.84415138677258, -367.91718519262247, -161.77737422923096]"
1280,"[-148.25996200769526, -143.54766049503067, -100.4595771831475, -216.97394095080762, -260.8580431047831, -532.207742802937, -92.26604451112226, -122.00579107780567, -113.29014859359219, -151.46903516178585]"
1290,"[-159.71999531099397, -155.73015718822847, -116.8178381115283, -112.01154601636419, -94.23191595542382, -87.22127434186709, -105.90873456766153, -90.38096911998547, -253.299463907992, -184.3288651200314]"
1300,"[-1015.4673025999327, -378.5535767589326, -379.69641748923215, -121.75743344970763, -345.9063056417379, -314.9696563346147, -470.4945505838619, -117.5828166370861, -88.98039135711966, -594.9177041078722]"
1310,"[-320.32188162724447, -255.800008563354, -502.9121262928401, -404.5018985964233, -130.91375543986942, -292.5558424586083, -691.5276651430373, -74.00088579767463, -612.7132055132499, -269.1526298368375]"
1320,"[-159.53298487070796, -110.8032711483749, -147.9317410447083, -156.43226065179485, -561.9828218089285, -109.12742428483878, -235.49853098938343, -525.411004063525, -503.3103874250286, -142.60766098336828]"
1330,"[-144.5453576390319, -179.73092177776334, -505.3213233852976, -117.80316130052276, -223.74027488496358, -94.81837848493034, -58.302013990019525, -597.602994762381, -395.726809009351, -142.57489310426524]"
1340,"[-103.67993656556554, -126.27376528818229, -545.332906782548, -50.31380034956739, -306.33465558126403, -115.68907761131987, -103.2609408723824, -107.0690363143631, -104.06948358195751, -116.09782235046353]"
1350,"[-587.1138074853955, -51.4519930269111, -98.56978381321298, -136.5417883891295, -118.52312604254344, -566.0209898726914, -524.7157039212826, -280.7961087164125, -99.60258724698305, -388.88747651573055]"
1360,"[-330.7701937149697, -231.2281210811718, -92.79706718026777, -88.3720644152734, -683.829149125909, -468.5315012404144, -267.01251045227883, -59.230498343707865, -209.9550754119772, -128.79792400480244]"
1370,"[-87.09559138275986, -356.4799614300184, -131.14172186013218, -168.42591058382368, -129.1791820796305, -456.62896721493513, -130.74374195857365, -126.4059065019467, -158.43894078030323, -140.1289631463569]"
1380,"[-484.22190619729605, -570.032413309383, -122.2603441054741, -168.10870644401479, -388.3667091447254, -154.2891338844595, -94.79616936951098, -143.959814761281, -584.8111382376214, -232.55236994492034]"
1390,"[-138.4209207944794, -40.45562363856861, -144.4408774969429, -474.8808560794338, -128.18485326272796, -400.748675095362, -515.6823155350388, -129.63050645959217, -304.82596436882204, -619.9437645883164]"
1400,"[-190.84612258764014, -29.169724110312913, -750.3497424023662, -313.5091571704447, -571.9562755498611, -118.50924718088538, -138.22013312639666, -444.23846535834974, -546.5708545870812, -114.33074865858262]"
1410,"[-125.86080989195698, -519.2527884345602, -227.91537061348032, -508.7898360567418, -96.40095225165605, -122.96387453884232, -108.85091487392465, -161.03665965915343, -216.443474825434, -111.50097767919442]"
1420,"[-121.64739469338124, -85.45459148880104, -414.2468864421192, -222.03080525118753, -535.6738204129938, -367.29187207978384, -227.1731109888295, -143.56570668939946, -439.2317912093, -738.7598825246758]"
1430,"[-126.4877103662351, -363.369097309744, -124.71338836969807, -581.5160575102244, -546.2572537257197, -5.329849909954618, -113.30981567602095, -129.5812358544318, -154.16292811230755, -136.89290338056944]"
1440,"[-593.196931553137, -132.31329569797975, -94.25811138625859, -252.57488660778523, -525.3695641136854, -120.3702875750096, -366.8420655340705, -129.54403889647452, -533.2565810528835, -119.58411386779878]"
1450,"[-508.68654501120045, -527.597784953878, -117.15633191686928, -128.88146924514004, -5.232064965355477, -125.79772576072497, -50.553413100288495, -101.27572959210475, -127.41221654453669, -563.991754035872]"
